	acc	conv_act	conv_kernel_size	conv_num_filters	epochs	loss	out_act	time_stamp	val_acc	val_acc_real	val_loss
0	0.5216827280349957	sigmoid	3	32	1.0	1.870954109351665	sigmoid	2019-09-22 03:00:25.312462	0.530022238717422		1.6557947854097903
1	0.5413269087771648	sigmoid	3	32	2.0	1.6386132434706409	sigmoid		0.530022238717422		1.6446832477648758
2	0.5689399555667937	sigmoid	3	32	3.0	1.4286007119426911	sigmoid		0.6019273536836244		1.281781678203303
3	0.6130467011718241	sigmoid	3	32	4.0	1.196535569106852	sigmoid		0.6115641216599031		1.2166125541090347
4	0.6806893995552261	sigmoid	3	32	5.0	1.096003431625239	sigmoid		0.6812453670268416		1.143542893645143
5	0.7142327650553036	sigmoid	3	32	6.0	0.98928203133851	sigmoid		0.6782802075832486		1.1268806294037554
6	0.7281319495922906	sigmoid	3	32	7.0	0.9112038358747738	sigmoid		0.6819866568048942		1.1183337284247905
7	0.7507412898885134	sigmoid	3	32	8.0	0.8372865173443765	sigmoid		0.6842105263378816		1.1058315541498567
8	0.7700148258852553	sigmoid	3	32	9.0	0.775921571334262	sigmoid		0.6849518162484872		1.1347800129161578
9	0.7950333580871791	sigmoid	3	32	10.0	0.7105923126678806	sigmoid		0.6760563381165376		1.1707214712654777
10	0.8111564121571534	sigmoid	3	32	11.0	0.6496409870590255	sigmoid		0.672349888894892		1.2217323234825332
11	0.8170867309559708	sigmoid	3	32	12.0	0.6045979508830496	sigmoid		0.6775389178051959		1.2900944522259588
12	0.8261675315490027	sigmoid	3	32	13.0	0.5617468954016316	sigmoid		0.6879169755595272		1.2928942850203404
13	0.8437731652634509	sigmoid	3	32	14.0	0.5076119268134932	sigmoid		0.6775389178051959		1.355345055781266
14	0.8537805781177099	sigmoid	3	32	15.0	0.4794823850544406	sigmoid		0.644180874810385		1.4970657211307952
15	0.868421052631579	sigmoid	3	32	16.0	0.45306762511682475	sigmoid		0.656041512319651		1.459142508464358
16	0.8780578205636733	sigmoid	3	32	17.0	0.41958821182166145	sigmoid		0.6805040771825125		1.5130167176230382
17	0.8925129724839072	sigmoid	3	32	18.0	0.38363891287677104	sigmoid		0.6886582654038564		1.5907594319004938
18	0.9036323201488441	sigmoid	3	32	19.0	0.3535660953102861	sigmoid		0.6901408450925147		1.6578694733979527
19	0.9104892512088886	sigmoid	3	32	20.0	0.3303555622199803	sigmoid		0.6827279467154999		1.7160686721529583
20	0.9182727945743445	sigmoid	3	32	21.0	0.3037604413004254	sigmoid		0.6753150482722086		1.792390800034938
21	0.9234618236613857	sigmoid	3	32	22.0	0.2796472689016737	sigmoid		0.6916234248474494		1.9196706675352035
22	0.9297627872056303	sigmoid	3	32	23.0	0.2593875998055343	sigmoid		0.6730911786729447		1.9622875603151992
23	0.9349518161159343	sigmoid	3	32	24.0	0.2425948861376103	sigmoid		0.6886582654038564		2.0251866205256457
24	0.9399555225651559	sigmoid	3	32	25.0	0.22007678507698122	sigmoid		0.6886582654038564		2.111507656222542
25	0.9444032616311308	sigmoid	3	32	26.0	0.2087446536021024	sigmoid		0.669384729451299		2.2189601457410606
26	0.9486656781918389	sigmoid	3	32	27.0	0.1957486157531293	sigmoid		0.674573758383695		2.2373008170421254
27	0.949777613002517	sigmoid	3	32	28.0	0.18780756139198526	sigmoid		0.6827279466713155		2.2794549523502745
28	0.9512601927353596	sigmoid	3	32	29.0	0.18395810401974297	sigmoid		0.6664195701402589		2.359913852057517
29	0.9542253520243075	sigmoid	3	32	30.0	0.1691354182890559	sigmoid		0.6708673092062337		2.44600557750733
30	0.9599703484062269	sigmoid	3	32	31.0	0.15158304273032805	sigmoid		0.6634544107629424		2.4746303571604904
31	0.9636767975395039	sigmoid	3	32	32.0	0.13935555327680926	sigmoid		0.6760563381165376		2.5348669621924986
32	0.9621942179392142	sigmoid	3	32	33.0	0.1425011136311571	sigmoid		0.6634544106966659		2.684600354919971
